cutoff_hz,snr_vs_clean_db,snr_improvement_db,corr_with_clean,high_freq_ratio_vs_noisy,speech_band_error_db
500,8.791285012584588,-8.703492704397824,0.9318652006351682,0.004272832771484659,-8.859217389547352
750,10.999688646557777,-6.495089070424635,0.9595219848508124,0.0032686183569689896,-11.111662180597941
1000,14.90244576532579,-2.5923319516566217,0.9837749812285114,0.00421782223300259,-15.197396582934473
1250,17.753976800012715,0.25919908303030326,0.9915845480259385,0.004077351878748646,-18.353796403252908
1500,19.23671941499927,1.7419416980168592,0.9940220582925089,0.0037171784148183292,-20.12354940639184
1750,20.68762034700796,3.192842630025549,0.9957231550164201,0.0038984983796931647,-22.02398608987351
2000,21.843527507887025,4.348749790904613,0.9967241240771194,0.00395155616246677,-23.756163484640183
2250,22.862779789713766,5.368002072731354,0.9974104007044879,0.0039033964094188074,-25.58459590140285
2500,23.76731369007898,6.272535973096566,0.997898082551896,0.003935771865469594,-27.68568424339646
2750,24.087588298827924,6.592810581845512,0.9980482643576941,0.00400907124076824,-28.804551850311803
3000,24.135201610658253,6.640423893675841,0.9980701518596453,0.00409880328320974,-29.21659313909331
3250,24.11503088918805,6.620253172205636,0.9980616656335236,0.004201900645973008,-29.283847681257825
3500,24.067040201744692,6.57226248476228,0.9980406443933454,0.004312016143424266,-29.05701317725915
3750,23.984053323983673,6.489275607001261,0.9980034724161033,0.004480590340148096,-28.76886850748918
4000,23.840501656583708,6.345723939601296,0.9979371726354331,0.004819530089517081,-28.606213220049007
4250,23.628263566140273,6.133485849157861,0.9978348420759365,0.0057289250378282554,-28.543198564076455
4500,23.349337269125616,5.854559552143204,0.9976924073245873,0.00884957927048485,-28.522175520450908
4750,23.00213912689737,5.507361409914957,0.9975017616818808,0.01893379495898785,-28.515566050893028
5000,22.594363462846342,5.09958574586393,0.9972574636525232,0.04546580314603047,-28.51356536405877
5250,22.142951708723913,4.648173991741501,0.9969589381174236,0.09628204206082411,-28.512984326720257
5500,21.661185665349105,4.166407948366693,0.9966043841189571,0.1669269530045191,-28.512822197920784
5750,21.162060429537807,3.6672827125553944,0.9961935033673521,0.24775203505524004,-28.512776887004204
6000,20.661295365083845,3.1665176481014328,0.995731512109641,0.3328357767381369,-28.51276651366988
6250,20.164772627551592,2.66999491056918,0.9952184014693257,0.42070654493056175,-28.512767736664184
6500,19.67122332478901,2.176445607806599,0.9946476920467372,0.5131134958010989,-28.51277021353106
6750,19.175765955579692,1.6809882385972799,0.9940068632419752,0.6132096496244503,-28.51276984532464
7000,18.67565991862413,1.1808822016417189,0.9932829439377728,0.7185246087942316,-28.512768828577045
7250,18.1933564136108,0.6985786966283882,0.992502943898036,0.8239553964483262,-28.512768853820756
7500,17.740602511327292,0.24582479434488036,0.9916894813806918,0.929141182916647,-28.51276576330424
